True_Class,Reflectance_B02,Reflectance_B03,Reflectance_B04,Reflectance_B08,Reflectance_B05,Reflectance_B06,Reflectance_B07,Reflectance_B11,Reflectance_B12,Reflectance_B8A,Reflectance_B01,Reflectance_B09,Reflectance_Stan_B02,Reflectance_Stan_B03,Reflectance_Stan_B04,Reflectance_Stan_B08,Reflectance_Stan_B05,Reflectance_Stan_B06,Reflectance_Stan_B07,Reflectance_Stan_B11,Reflectance_Stan_B12,Reflectance_Stan_B8A,Reflectance_Stan_B01,Reflectance_Stan_B09,NDVI,NDWI
Magnoliopsida,526,700,660,1230,958,1026,1086,1211,837,1184,1148,2645,0,0.08211420481359132,0.0632373761208117,0.3322321849929212,0.2038697498820198,0.23596035865974516,0.26427560169891456,0.32326569136385086,0.1467673430863615,0.31052383199622463,0.293534686172723,1,0.30158730158730157,-0.27461139896373055
Magnoliopsida,518,670,662,1132,958,1026,1086,1211,837,1184,1148,2645,0,0.07146215326751293,0.06770098730606489,0.28866948754113775,0.2068641278796427,0.2388340385519511,0.26704278326281145,0.32581100141043723,0.14997649271274094,0.3131170662905501,0.29619181946403383,1,0.26198439241917504,-0.2563817980022198
Magnoliopsida,530,672,686,1138,869,1013,998,1042,719,1133,537,1264,0,0.19346049046321528,0.2125340599455041,0.8283378746594006,0.46185286103542234,0.6580381471389646,0.6376021798365122,0.6975476839237057,0.2574931880108992,0.8215258855585831,0.00953678474114441,1,0.24780701754385964,-0.2574585635359116
Magnoliopsida,509,670,639,1108,869,1013,998,1042,719,1133,537,1264,0,0.2132450331125828,0.17218543046357615,0.7933774834437086,0.4768211920529801,0.6675496688741722,0.6476821192052981,0.7059602649006622,0.2781456953642384,0.8264900662251655,0.03708609271523179,1,0.2684602175157413,-0.24634420697412823
Magnoliopsida,487,662,620,1024,799,925,933,987,685,1012,537,1264,0,0.22522522522522523,0.17117117117117117,0.6911196911196911,0.4015444015444015,0.5637065637065637,0.574002574002574,0.6435006435006435,0.2548262548262548,0.6756756756756757,0.06435006435006435,1,0.24574209245742093,-0.2147093712930012
Magnoliopsida,493,620,601,973,799,925,933,987,685,1012,537,1264,0,0.16472114137483787,0.14007782101167315,0.622568093385214,0.3968871595330739,0.5603112840466926,0.5706874189364461,0.6407263294422828,0.2490272373540856,0.6731517509727627,0.05706874189364461,1,0.2363405336721728,-0.221594475831764
Magnoliopsida,488,578,566,938,740,862,902,864,590,927,537,1264,0,0.11597938144329896,0.10051546391752578,0.5798969072164949,0.3247422680412371,0.48195876288659795,0.5335051546391752,0.4845360824742268,0.13144329896907217,0.5657216494845361,0.06314432989690721,1,0.2473404255319149,-0.23746701846965695
Magnoliopsida,420,518,500,905,740,862,902,864,590,927,537,1264,0,0.1161137440758294,0.0947867298578199,0.5746445497630331,0.3791469194312796,0.523696682464455,0.5710900473933649,0.5260663507109005,0.2014218009478673,0.6007109004739336,0.1386255924170616,1,0.28825622775800713,-0.2719606465214336
Magnoliopsida,370,481,442,911,718,831,872,793,550,933,419,862,0,0.19715808170515095,0.12788632326820604,0.960923623445826,0.6181172291296625,0.8188277087033747,0.8916518650088809,0.7513321492007105,0.3197158081705151,1,0.08703374777975133,0.8738898756660746,0.3466371027346637,-0.3089080459770115
Rhodophyta,373,461,506,876,718,831,872,793,550,933,419,862,0,0.15714285714285714,0.2375,0.8982142857142857,0.6160714285714286,0.8178571428571428,0.8910714285714286,0.75,0.31607142857142856,1,0.08214285714285714,0.8732142857142857,0.26772793053545585,-0.31039640987284967
Rhodophyta,459,538,564,872,741,850,867,842,607,925,419,862,0.07905138339920949,0.23517786561264825,0.2865612648221344,0.8952569169960475,0.6363636363636364,0.8517786561264822,0.8853754940711462,0.8359683794466403,0.3715415019762846,1,0,0.8754940711462451,0.21448467966573817,-0.23687943262411348
Bare Sediment,548,650,629,855,741,850,867,842,607,925,419,862,0.2549407114624506,0.4565217391304347,0.4150197628458498,0.8616600790513834,0.6363636363636364,0.8517786561264822,0.8853754940711462,0.8359683794466403,0.3715415019762846,1,0,0.8754940711462451,0.1522911051212938,-0.1362126245847176
Magnoliopsida,516,650,619,888,707,816,867,865,600,941,419,862,0.18582375478927204,0.4425287356321839,0.3831417624521073,0.8984674329501916,0.5517241379310345,0.7605363984674329,0.8582375478927203,0.8544061302681992,0.34674329501915707,1,0,0.8486590038314177,0.17850033178500332,-0.15474642392717816
Magnoliopsida,428,545,530,886,707,816,867,865,600,941,419,862,0.01724137931034482,0.2413793103448276,0.21264367816091953,0.8946360153256705,0.5517241379310345,0.7605363984674329,0.8582375478927203,0.8544061302681992,0.34674329501915707,1,0,0.8486590038314177,0.2514124293785311,-0.23829489867225717
Magnoliopsida,340,434,426,872,613,798,888,830,542,912,407,816,0,0.16433566433566432,0.15034965034965034,0.93006993006993,0.4772727272727273,0.8006993006993007,0.958041958041958,0.8566433566433567,0.3531468531468531,1,0.11713286713286714,0.8321678321678322,0.3436055469953775,-0.33537519142419603
Magnoliopsida,450,603,564,864,767,814,849,876,632,893,406,877,0.09034907597535936,0.404517453798768,0.324435318275154,0.9404517453798767,0.7412731006160165,0.837782340862423,0.9096509240246408,0.9650924024640656,0.4640657084188912,1,0,0.9671457905544149,0.21008403361344535,-0.17791411042944785
Magnoliopsida,498,648,614,901,767,814,849,876,632,893,406,877,0.18585858585858583,0.4888888888888889,0.4202020202020202,1,0.7292929292929293,0.8242424242424242,0.8949494949494949,0.9494949494949496,0.45656565656565656,0.9838383838383838,0,0.9515151515151516,0.18943894389438945,-0.16333118140735958
Magnoliopsida,546,648,612,927,855,924,944,956,695,980,406,877,0.24390243902439024,0.421602787456446,0.3588850174216028,0.9076655052264808,0.7822299651567944,0.902439024390244,0.9372822299651568,0.9581881533101044,0.5034843205574913,1,0,0.8205574912891986,0.2046783625730994,-0.17714285714285713
Magnoliopsida,568,698,678,1022,855,924,944,956,695,980,406,877,0.262987012987013,0.474025974025974,0.44155844155844154,1,0.7288961038961039,0.8409090909090909,0.8733766233766234,0.8928571428571429,0.46915584415584416,0.9318181818181818,0,0.7646103896103896,0.2023529411764706,-0.1883720930232558
Magnoliopsida,630,783,742,999,849,936,961,978,715,1007,406,877,0.37271214642262895,0.627287853577371,0.5590682196339434,0.9866888519134775,0.7371048252911814,0.8818635607321131,0.9234608985024958,0.951747088186356,0.5141430948419301,1,0,0.78369384359401,0.1476163124641011,-0.12121212121212122
Magnoliopsida,598,704,682,982,849,936,961,978,715,1007,406,877,0.3194675540765391,0.49584026622296173,0.45923460898502494,0.9584026622296172,0.7371048252911814,0.8818635607321131,0.9234608985024958,0.951747088186356,0.5141430948419301,1,0,0.78369384359401,0.1802884615384615,-0.16488730723606168
