True_Class,Reflectance_B02,Reflectance_B03,Reflectance_B04,Reflectance_B08,Reflectance_B05,Reflectance_B06,Reflectance_B07,Reflectance_B11,Reflectance_B12,Reflectance_B8A,Reflectance_B01,Reflectance_B09,Reflectance_Stan_B02,Reflectance_Stan_B03,Reflectance_Stan_B04,Reflectance_Stan_B08,Reflectance_Stan_B05,Reflectance_Stan_B06,Reflectance_Stan_B07,Reflectance_Stan_B11,Reflectance_Stan_B12,Reflectance_Stan_B8A,Reflectance_Stan_B01,Reflectance_Stan_B09,NDVI,NDWI
Bare Sediment,723,842,848,1034,1043,1055,1088,900,575,1135,638,572,0.2682060390763766,0.47957371225577267,0.49023090586145646,0.8206039076376554,0.8365896980461812,0.8579040852575488,0.91651865008881,0.5825932504440497,0.00532859680284191,1,0.1172291296625222,0,0.09883103081827845,-0.1023454157782516
Bare Sediment,740,858,868,1066,1043,1055,1088,900,575,1135,638,572,0.2984014209591474,0.5079928952042628,0.5257548845470693,0.8774422735346359,0.8365896980461812,0.8579040852575488,0.91651865008881,0.5825932504440497,0.00532859680284191,1,0.1172291296625222,0,0.10237849017580145,-0.10810810810810811
Bare Sediment,814,914,916,1054,905,841,904,665,448,850,638,572,0.6039603960396039,0.768976897689769,0.7722772277227723,1,0.7541254125412541,0.6485148514851485,0.7524752475247525,0.3580858085808581,0,0.6633663366336634,0.31353135313531355,0.20462046204620463,0.0700507614213198,-0.07113821138211382
Bare Sediment,634,714,687,753,905,841,904,665,448,850,638,572,0.40700218818380746,0.5820568927789934,0.5229759299781181,0.6673960612691466,1,0.8599562363238512,0.9978118161925602,0.474835886214442,0,0.8796498905908097,0.41575492341356673,0.2713347921225383,0.04583333333333333,-0.02658486707566462
Water,436,524,472,315,580,398,407,306,203,373,514,408,0.6180371352785146,0.8514588859416445,0.713527851458886,0.29708222811671087,1,0.5172413793103449,0.5411140583554377,0.27320954907161804,0,0.4509283819628647,0.8249336870026526,0.5437665782493368,-0.19949174078780177,0.24910607866507747
Water,429,504,434,228,406,246,237,232,174,205,514,408,0.75,0.9705882352941176,0.7647058823529411,0.1588235294117647,0.6823529411764706,0.21176470588235297,0.18529411764705883,0.17058823529411765,0,0.09117647058823528,1,0.6882352941176471,-0.311178247734139,0.3770491803278688
Water,448,500,433,275,406,246,237,232,174,205,514,408,0.8058823529411765,0.9588235294117649,0.7617647058823529,0.29705882352941176,0.6823529411764706,0.21176470588235297,0.18529411764705883,0.17058823529411765,0,0.09117647058823528,1,0.6882352941176471,-0.2231638418079096,0.2903225806451613
Water,439,500,405,244,472,325,327,338,231,320,514,408,0.734982332155477,0.950530035335689,0.6148409893992933,0.04593639575971731,0.8515901060070671,0.3321554770318021,0.3392226148409894,0.37809187279151946,0,0.31448763250883394,1,0.6254416961130742,-0.24807395993836673,0.34408602150537637
Water,437,507,420,296,472,325,327,338,231,320,514,408,0.7279151943462897,0.9752650176678446,0.6678445229681979,0.22968197879858657,0.8515901060070671,0.3321554770318021,0.3392226148409894,0.37809187279151946,0,0.31448763250883394,1,0.6254416961130742,-0.17318435754189945,0.2627646326276463
Magnoliopsida,494,596,544,625,873,1256,1145,952,642,1353,555,659,0,0.11874272409778812,0.05820721769499418,0.15250291036088476,0.4412107101280559,0.8870779976717112,0.7578579743888242,0.5331781140861467,0.17229336437718276,1,0.0710128055878929,0.1920838183934808,0.06928999144568007,-0.02375102375102375
Bare Sediment,546,697,708,1180,873,1256,1145,952,642,1353,555,659,0,0.18711276332094176,0.20074349442379183,0.7856257744733581,0.4052044609665427,0.8798017348203222,0.7422552664188352,0.5030978934324659,0.11895910780669144,1,0.01115241635687732,0.14002478314745972,0.25,-0.25732551944592436
Bare Sediment,484,571,604,816,736,975,975,758,524,1069,541,684,0,0.14871794871794872,0.20512820512820512,0.5675213675213675,0.4307692307692308,0.8393162393162393,0.8393162393162393,0.4683760683760684,0.06837606837606838,1,0.09743589743589744,0.3418803418803419,0.14929577464788732,-0.17664023071377072
Magnoliopsida,397,484,461,508,687,820,1022,692,459,1036,541,684,0,0.13615023474178403,0.10015649452269172,0.17370892018779344,0.4538341158059468,0.6619718309859155,0.9780907668231612,0.4616588419405321,0.0970266040688576,1,0.22535211267605632,0.4491392801251956,0.04850361197110423,-0.02419354838709677
