True_Class,Reflectance_B02,Reflectance_B03,Reflectance_B04,Reflectance_B08,Reflectance_B05,Reflectance_B06,Reflectance_B07,Reflectance_B11,Reflectance_B12,Reflectance_B8A,Reflectance_B01,Reflectance_B09,Reflectance_Stan_B02,Reflectance_Stan_B03,Reflectance_Stan_B04,Reflectance_Stan_B08,Reflectance_Stan_B05,Reflectance_Stan_B06,Reflectance_Stan_B07,Reflectance_Stan_B11,Reflectance_Stan_B12,Reflectance_Stan_B8A,Reflectance_Stan_B01,Reflectance_Stan_B09,NDVI,NDWI
Magnoliopsida,420,516,493,792,709,777,800,692,475,851,391,973,0.04982817869415808,0.21477663230240548,0.17525773195876287,0.6890034364261168,0.5463917525773195,0.6632302405498282,0.7027491408934707,0.5171821305841925,0.14432989690721648,0.7903780068728522,0,1,0.23268482490272377,-0.21100917431192664
Magnoliopsida,399,510,479,754,709,777,800,692,475,851,391,973,0.01374570446735395,0.20446735395189003,0.15120274914089346,0.6237113402061856,0.5463917525773195,0.6632302405498282,0.7027491408934707,0.5171821305841925,0.14432989690721648,0.7903780068728522,0,1,0.22303325223033252,-0.1930379746835443
Magnoliopsida,378,467,440,794,672,780,827,636,416,872,363,1036,0.02228826151560178,0.15453194650817237,0.11441307578008916,0.6404160475482912,0.4591381872213967,0.6196136701337296,0.6894502228826151,0.40564635958395245,0.0787518573551263,0.7563150074294205,0,1,0.28687196110210694,-0.25931800158604285
Magnoliopsida,337,458,422,920,672,780,827,636,416,872,363,1036,0,0.17310443490701002,0.12160228898426324,0.8340486409155937,0.4792560801144492,0.6337625178826896,0.7010014306151645,0.4277539341917024,0.11301859799713876,0.765379113018598,0.03719599427753934,1,0.3710879284649776,-0.3352685050798258
Magnoliopsida,344,464,416,1072,717,958,1031,688,406,1130,363,1036,0,0.15267175572519084,0.0916030534351145,0.926208651399491,0.47455470737913485,0.7811704834605598,0.8740458015267175,0.4376590330788804,0.07888040712468193,1,0.02417302798982188,0.8804071246819338,0.44086021505376344,-0.3958333333333333
Magnoliopsida,335,460,406,1044,717,958,1031,688,406,1130,363,1036,0,0.15723270440251572,0.08930817610062892,0.8918238993710692,0.48050314465408805,0.7836477987421384,0.8754716981132076,0.4440251572327044,0.08930817610062892,1,0.03522012578616352,0.8817610062893082,0.44,-0.3882978723404255
Magnoliopsida,319,440,408,1042,772,992,1082,710,418,1229,363,1036,0,0.13296703296703297,0.0978021978021978,0.7945054945054945,0.4978021978021978,0.7395604395604396,0.8384615384615385,0.4296703296703296,0.1087912087912088,1,0.04835164835164835,0.7879120879120879,0.4372413793103449,-0.4062078272604589
Bare Sediment,371,464,414,948,772,992,1082,710,418,1229,363,1036,0.0092378752886836,0.11662817551963048,0.05889145496535797,0.6755196304849884,0.4722863741339492,0.7263279445727483,0.8302540415704388,0.4006928406466513,0.06351039260969978,1,0,0.7771362586605081,0.3920704845814978,-0.34277620396600567
Magnoliopsida,378,486,445,996,735,906,1019,717,444,1049,396,999,0,0.16095380029806258,0.09985096870342772,0.9210134128166916,0.5320417287630402,0.7868852459016393,0.955290611028316,0.5052160953800298,0.09836065573770492,1,0.02682563338301043,0.92548435171386,0.3823733518390007,-0.3441295546558704
Magnoliopsida,390,516,486,894,735,906,1019,717,444,1049,396,999,0,0.19119878603945373,0.1456752655538695,0.7647951441578149,0.5235204855842185,0.7830045523520486,0.9544764795144158,0.496206373292868,0.0819423368740516,1,0.00910470409711684,0.9241274658573596,0.2956521739130435,-0.2680851063829787
Magnoliopsida,408,542,510,1054,807,1084,1097,760,460,1231,396,999,0.01437125748502994,0.17485029940119762,0.13652694610778443,0.7880239520958083,0.49221556886227547,0.8239520958083832,0.8395209580838323,0.4359281437125748,0.07664670658682635,1,0,0.7221556886227545,0.34782608695652173,-0.3208020050125313
