True_Class,Reflectance_B02,Reflectance_B03,Reflectance_B04,Reflectance_B08,Reflectance_B05,Reflectance_B06,Reflectance_B07,Reflectance_B11,Reflectance_B12,Reflectance_B8A,Reflectance_B01,Reflectance_B09,Reflectance_Stan_B02,Reflectance_Stan_B03,Reflectance_Stan_B04,Reflectance_Stan_B08,Reflectance_Stan_B05,Reflectance_Stan_B06,Reflectance_Stan_B07,Reflectance_Stan_B11,Reflectance_Stan_B12,Reflectance_Stan_B8A,Reflectance_Stan_B01,Reflectance_Stan_B09,NDVI,NDWI
Chlorophyta,392,735,326,735,1028,868,862,127,91,502,371,186,0.32123799359658484,0.687299893276414,0.2508004268943437,0.687299893276414,1,0.8292422625400213,0.8228388473852721,0.0384204909284952,0,0.4386339381003202,0.29882604055496265,0.10138740661686232,0.3854853911404336,0
Chlorophyta,382,747,434,739,1028,868,862,127,91,502,371,186,0.3105656350053362,0.7001067235859125,0.3660618996798292,0.6915688367129136,1,0.8292422625400213,0.8228388473852721,0.0384204909284952,0,0.4386339381003202,0.29882604055496265,0.10138740661686232,0.26001705029838024,0.0053835800807537
Chlorophyta,435,792,449,659,1119,839,830,288,247,532,582,348,0.21559633027522937,0.625,0.231651376146789,0.4724770642201835,1,0.6788990825688074,0.6685779816513762,0.04701834862385321,0,0.3268348623853211,0.3841743119266055,0.1158256880733945,0.1895306859205776,0.09166092350103378
Chlorophyta,741,1060,662,712,1119,839,830,288,247,532,582,348,0.5665137614678899,0.9323394495412844,0.47591743119266056,0.533256880733945,1,0.6788990825688074,0.6685779816513762,0.04701834862385321,0,0.3268348623853211,0.3841743119266055,0.1158256880733945,0.03639010189228529,0.1963882618510158
Chlorophyta,679,863,730,1244,1062,1233,1266,223,155,1212,499,678,0.47164716471647167,0.6372637263726373,0.5175517551755175,0.9801980198019802,0.8163816381638164,0.9702970297029704,1,0.0612061206120612,0,0.9513951395139514,0.3096309630963096,0.47074707470747074,0.26038500506585616,-0.18082581869957284
Chlorophyta,648,871,719,1284,1098,1332,1331,232,163,1294,499,678,0.41488451668092385,0.6056458511548332,0.4756201881950385,0.958939264328486,0.7998289136013687,1,0.9991445680068436,0.05902480752780154,0,0.9674935842600512,0.2874251497005988,0.4405474764756202,0.2820768846729905,-0.19164733178654292
Chlorophyta,625,878,646,1394,1098,1332,1331,232,163,1294,499,678,0.3753046303818034,0.5808285946385053,0.3923639317627945,1,0.7595450852965069,0.949634443541836,0.9488220958570268,0.05605199025182778,0,0.9187652315190902,0.272948822095857,0.4183590576766856,0.36666666666666664,-0.22711267605633803
Chlorophyta,565,849,567,1416,1089,1309,1321,200,153,1244,499,678,0.3262074425969913,0.5510688836104513,0.32779097387173395,1,0.7410926365795725,0.9152810768012668,0.9247822644497228,0.03721298495645289,0,0.8638163103721298,0.273950910530483,0.4156769596199525,0.4281391830559758,-0.2503311258278146
Chlorophyta,507,827,595,1278,1089,1309,1321,200,153,1244,499,678,0.3030821917808219,0.577054794520548,0.3784246575342466,0.9631849315068494,0.8013698630136986,0.9897260273972602,1,0.04023972602739726,0,0.9340753424657534,0.2962328767123288,0.449486301369863,0.3646556326748532,-0.2142517814726841
Chlorophyta,578,835,608,1146,1012,1055,1090,127,100,887,330,281,0.4569789674952199,0.70267686424474185,0.48565965583174,1,0.8718929254302104,0.9130019120458892,0.9464627151051626,0.02581261950286807,0,0.7523900573613767,0.2198852772466539,0.17304015296367112,0.30672748004561,-0.15699141847551742
Chlorophyta,529,790,518,968,1012,1055,1090,127,100,887,330,281,0.43333333333333335,0.696969696969697,0.4222222222222222,0.8767676767676768,0.9212121212121211,0.9646464646464646,1,0.02727272727272727,0,0.794949494949495,0.23232323232323232,0.18282828282828284,0.3028263795423957,-0.1012514220705347
Chlorophyta,429,738,410,809,941,879,883,62,54,611,330,281,0.4227733934611049,0.7711386696730552,0.4013528748590755,0.8511837655016911,1,0.9301014656144306,0.9346110484780158,0.00901916572717023,0,0.6279594137542277,0.3111612175873732,0.25591882750845546,0.3273174733388023,-0.04589528118939883
Chlorophyta,392,741,330,760,941,879,883,62,54,611,330,281,0.3810597519729425,0.7745208568207441,0.3111612175873732,0.7959413754227734,1,0.9301014656144306,0.9346110484780158,0.00901916572717023,0,0.6279594137542277,0.3111612175873732,0.25591882750845546,0.3944954128440367,-0.01265822784810126
Chlorophyta,392,741,303,727,916,825,827,47,35,511,330,281,0.4052213393870602,0.8013620885357549,0.30419977298524403,0.7854710556186152,1,0.8967082860385925,0.8989784335981839,0.01362088535754824,0,0.5402951191827469,0.3348467650397276,0.2792281498297389,0.4116504854368932,0.00953678474114441
Chlorophyta,388,690,294,659,916,825,827,47,35,511,330,281,0.40068104426787743,0.7434733257661748,0.2939841089670829,0.7082860385925085,1,0.8967082860385925,0.8989784335981839,0.01362088535754824,0,0.5402951191827469,0.3348467650397276,0.2792281498297389,0.3830010493179433,0.02297998517420311
Chlorophyta,356,699,298,672,930,847,850,57,40,526,275,113,0.3550561797752809,0.7404494382022472,0.2898876404494382,0.7101123595505618,1,0.9067415730337078,0.9101123595505618,0.01910112359550561,0,0.5460674157303371,0.2640449438202247,0.08202247191011236,0.3855670103092784,0.01969365426695842
Chlorophyta,362,697,288,688,930,847,850,57,40,526,275,113,0.36179775280898874,0.7382022471910112,0.2786516853932584,0.7280898876404495,1,0.9067415730337078,0.9101123595505618,0.01910112359550561,0,0.5460674157303371,0.2640449438202247,0.08202247191011236,0.4098360655737705,0.00649819494584837
Chlorophyta,353,705,285,753,982,969,969,72,50,590,275,113,0.3251072961373391,0.7027896995708155,0.2521459227467811,0.7542918454935622,1,0.9860515021459229,0.9860515021459229,0.02360515021459227,0,0.5793991416309013,0.24141630901287553,0.06759656652360516,0.4508670520231214,-0.03292181069958848
Chlorophyta,362,723,282,823,982,969,969,72,50,590,275,113,0.33476394849785407,0.7221030042918455,0.24892703862660945,0.8293991416309013,1,0.9860515021459229,0.9860515021459229,0.02360515021459227,0,0.5793991416309013,0.24141630901287553,0.06759656652360516,0.48959276018099546,-0.0646830530401035
Chlorophyta,358,720,272,801,997,986,987,88,65,595,275,113,0.3143776824034335,0.7027896995708155,0.22210300429184548,0.7896995708154506,1,0.988197424892704,0.9892703862660944,0.02467811158798283,0,0.5686695278969958,0.22532188841201717,0.05150214592274678,0.4930102516309413,-0.05325443786982249
Chlorophyta,348,706,258,789,997,986,987,88,65,595,275,113,0.30364806866952787,0.6877682403433476,0.20708154506437768,0.776824034334764,1,0.988197424892704,0.9892703862660944,0.02467811158798283,0,0.5686695278969958,0.22532188841201717,0.05150214592274678,0.5071633237822349,-0.05551839464882943
Chlorophyta,363,717,297,752,1039,907,916,184,176,563,392,214,0.21668597914252608,0.626882966396292,0.14020857473928158,0.6674391657010429,1,0.847045191193511,0.8574739281575898,0.00926998841251448,0,0.4484356894553882,0.25028968713789107,0.0440324449594438,0.43374642516682554,-0.02382573179033356
Chlorophyta,606,915,518,760,1039,907,916,184,176,563,392,214,0.4982618771726535,0.8563151796060255,0.3962920046349942,0.6767091541135574,1,0.847045191193511,0.8574739281575898,0.00926998841251448,0,0.4484356894553882,0.25028968713789107,0.0440324449594438,0.189358372456964,0.09253731343283582
Chlorophyta,641,877,686,1316,1062,1233,1266,223,155,1212,499,678,0.4186046511627907,0.6218776916451335,0.4573643410852713,1,0.781223083548665,0.9285099052540912,0.9569336778639104,0.05857019810508183,0,0.9104220499569337,0.2962962962962963,0.45047372954349696,0.3146853146853147,-0.20018239854081168
Chlorophyta,638,863,673,1350,1098,1332,1331,232,163,1294,499,678,0.4001684919966302,0.5897219882055602,0.42965459140690815,1,0.7877000842459984,0.9848357203032856,0.9839932603201348,0.05812973883740522,0,0.9528222409435552,0.2830665543386689,0.43386689132266215,0.3346515076618883,-0.2200632625395391
Chlorophyta,629,883,675,1324,1098,1332,1331,232,163,1294,499,678,0.39863130881094955,0.6159110350727117,0.43798118049615054,0.9931565440547476,0.7998289136013687,1,0.9991445680068436,0.05902480752780154,0,0.9674935842600512,0.2874251497005988,0.4405474764756202,0.3246623311655828,-0.19981875849569553
Chlorophyta,620,865,683,1344,1089,1309,1321,200,153,1244,499,678,0.39210747271200674,0.5978169605373636,0.4450041981528128,1,0.7858942065491183,0.9706129303106632,0.980688497061293,0.03946263643996641,0,0.9160369437447524,0.290512174643157,0.4408060453400504,0.32609768130241734,-0.21684019918515168
Chlorophyta,660,870,694,1236,1089,1309,1321,200,153,1244,499,678,0.4340753424657534,0.6138698630136986,0.4631849315068493,0.9272260273972602,0.8013698630136986,0.9897260273972602,1,0.04023972602739726,0,0.9340753424657534,0.2962328767123288,0.449486301369863,0.28082901554404144,-0.1737891737891738
Chlorophyta,525,808,547,889,1012,1055,1090,127,100,887,330,281,0.4292929292929293,0.7151515151515152,0.45151515151515154,0.796969696969697,0.9212121212121211,0.9646464646464646,1,0.02727272727272727,0,0.794949494949495,0.23232323232323232,0.18282828282828284,0.2381615598885794,-0.04773129051266941
Chlorophyta,401,755,401,813,941,879,883,62,54,611,330,281,0.39120631341600903,0.790304396843292,0.39120631341600903,0.8556933483652762,1,0.9301014656144306,0.9346110484780158,0.00901916572717023,0,0.6279594137542277,0.3111612175873732,0.25591882750845546,0.3393739703459638,-0.03698979591836734
Chlorophyta,402,750,343,725,941,879,883,62,54,611,330,281,0.3923337091319053,0.7846674182638106,0.3258173618940248,0.7564825253664036,1,0.9301014656144306,0.9346110484780158,0.00901916572717023,0,0.6279594137542277,0.3111612175873732,0.25591882750845546,0.35767790262172283,0.01694915254237288
Chlorophyta,389,703,322,687,916,825,827,47,35,511,330,281,0.4018161180476731,0.7582292849035187,0.3257661748013621,0.7400681044267877,1,0.8967082860385925,0.8989784335981839,0.01362088535754824,0,0.5402951191827469,0.3348467650397276,0.2792281498297389,0.36174430128840435,0.01151079136690647
Chlorophyta,346,649,268,692,916,825,827,47,35,511,330,281,0.3530079455164586,0.6969353007945517,0.264472190692395,0.7457434733257662,1,0.8967082860385925,0.8989784335981839,0.01362088535754824,0,0.5402951191827469,0.3348467650397276,0.2792281498297389,0.44166666666666665,-0.03206562266964952
Chlorophyta,329,663,256,735,930,847,850,57,40,526,275,113,0.32471910112359553,0.7,0.24269662921348312,0.7808988764044944,1,0.9067415730337078,0.9101123595505618,0.01910112359550561,0,0.5460674157303371,0.2640449438202247,0.08202247191011236,0.48335015136226034,-0.05150214592274678
