True_Class,Reflectance_B02,Reflectance_B03,Reflectance_B04,Reflectance_B08,Reflectance_B05,Reflectance_B06,Reflectance_B07,Reflectance_B11,Reflectance_B12,Reflectance_B8A,Reflectance_B01,Reflectance_B09,Reflectance_Stan_B02,Reflectance_Stan_B03,Reflectance_Stan_B04,Reflectance_Stan_B08,Reflectance_Stan_B05,Reflectance_Stan_B06,Reflectance_Stan_B07,Reflectance_Stan_B11,Reflectance_Stan_B12,Reflectance_Stan_B8A,Reflectance_Stan_B01,Reflectance_Stan_B09,NDVI,NDWI
Microphytobenthos,498,830,716,1572,1220,1428,1509,608,245,1571,339,1360,0.19065561416729465,0.440844009042954,0.3549359457422758,1,0.73474001507159,0.8914845516201959,0.9525244913338358,0.27354935945742276,0,0.9992464204973625,0.07083647324792766,0.840241145440844,0.3741258741258741,-0.3089092422980849
Microphytobenthos,499,834,728,1550,1210,1369,1460,525,203,1511,339,1360,0.21974758723088345,0.4684484038604306,0.3897550111358575,1,0.7475872308834447,0.8656273199703044,0.933184855233853,0.23904974016332592,0,0.9710467706013364,0.10096510764662212,0.8589458054936897,0.3608428446005268,-0.30033557046979864
Microphytobenthos,502,809,725,1506,1210,1369,1460,525,203,1511,339,1360,0.22859327217125383,0.463302752293578,0.39908256880733944,0.996177370030581,0.7698776758409785,0.8914373088685015,0.9610091743119266,0.24617737003058104,0,1,0.10397553516819572,0.8845565749235474,0.3500672344240251,-0.30107991360691144
Microphytobenthos,501,810,748,1480,1174,1344,1423,418,139,1486,386,1232,0.26874536005939126,0.4981440237564959,0.4521158129175947,0.9955456570155902,0.7683741648106904,0.894580549368968,0.9532293986636972,0.2071269487750557,0,1,0.1833704528582034,0.8114328136599851,0.32854578096947934,-0.2925764192139738
Microphytobenthos,528,834,786,1490,1174,1344,1423,418,139,1486,386,1232,0.28793486306439675,0.5144337527757217,0.4789045151739452,1,0.7660991857883049,0.8919319022945966,0.9504071058475204,0.20651369356032567,0,0.997039230199852,0.18282753515914135,0.8090303478904515,0.3093145869947276,-0.2822719449225473
Microphytobenthos,550,842,824,1496,1182,1345,1419,378,140,1480,386,1232,0.3023598820058997,0.5176991150442478,0.504424778761062,1,0.7684365781710915,0.8886430678466076,0.9432153392330384,0.17551622418879056,0,0.9882005899705014,0.18141592920353983,0.8053097345132744,0.2896551724137931,-0.2797262617621899
Microphytobenthos,570,845,835,1492,1182,1345,1419,378,140,1480,386,1232,0.3180473372781065,0.5214497041420119,0.5140532544378699,1,0.7707100591715976,0.8912721893491125,0.9460059171597632,0.1760355029585799,0,0.9911242603550297,0.1819526627218935,0.8076923076923077,0.2823377739578857,-0.2768506632434745
Microphytobenthos,590,862,877,1476,1206,1320,1422,311,98,1498,386,1232,0.3514285714285714,0.5457142857142857,0.5564285714285714,0.9842857142857144,0.7914285714285715,0.8728571428571429,0.9457142857142856,0.15214285714285714,0,1,0.2057142857142857,0.81,0.2545686357841054,-0.262617621899059
Microphytobenthos,610,860,936,1510,1206,1320,1422,311,98,1498,386,1232,0.3626062322946176,0.5396600566572238,0.5934844192634561,1,0.7847025495750708,0.8654390934844193,0.9376770538243626,0.1508498583569405,0,0.9915014164305948,0.20396600566572237,0.8031161473087819,0.2346688470973017,-0.2742616033755274
Microphytobenthos,609,846,940,1498,1177,1269,1384,277,87,1453,483,836,0.369950389794472,0.5379163713678242,0.6045357902197024,1,0.7725017717930546,0.8377037562012757,0.919206236711552,0.1346562721474132,0,0.968107725017718,0.2806520198440822,0.5308291991495393,0.22887612797374896,-0.2781569965870307
