True_Class,Reflectance_B02,Reflectance_B03,Reflectance_B04,Reflectance_B08,Reflectance_B05,Reflectance_B06,Reflectance_B07,Reflectance_B11,Reflectance_B12,Reflectance_B8A,Reflectance_B01,Reflectance_B09,Reflectance_Stan_B02,Reflectance_Stan_B03,Reflectance_Stan_B04,Reflectance_Stan_B08,Reflectance_Stan_B05,Reflectance_Stan_B06,Reflectance_Stan_B07,Reflectance_Stan_B11,Reflectance_Stan_B12,Reflectance_Stan_B8A,Reflectance_Stan_B01,Reflectance_Stan_B09,NDVI,NDWI
Bare Sediment,566,769,862,992,956,811,894,576,392,820,486,821,0.29,0.6283333333333333,0.7833333333333333,1,0.94,0.6983333333333334,0.8366666666666667,0.30666666666666664,0,0.7133333333333334,0.15666666666666668,0.715,0.07011866235167206,-0.12663259511641112
Bare Sediment,554,776,874,1024,925,857,911,708,480,882,474,856,0.14545454545454545,0.5490909090909091,0.7272727272727273,1,0.82,0.6963636363636364,0.7945454545454546,0.4254545454545455,0.01090909090909091,0.7418181818181818,0,0.6945454545454546,0.07903055848261328,-0.13777777777777778
Bare Sediment,583,758,880,1022,925,857,911,708,480,882,474,856,0.1989051094890511,0.5182481751824818,0.7408759124087592,1,0.822992700729927,0.698905109489051,0.7974452554744526,0.42700729927007297,0.01094890510948905,0.7445255474452555,0,0.6970802919708029,0.07465825446898001,-0.14831460674157304
Bare Sediment,558,770,867,970,894,853,810,655,407,801,474,856,0.2682060390763766,0.6447602131438721,0.8170515097690941,1,0.8650088809946714,0.7921847246891652,0.7158081705150977,0.4404973357015986,0,0.6998223801065719,0.11900532859680284,0.7975133214920072,0.05606967882416984,-0.11494252873563218
Bare Sediment,555,733,841,885,894,853,810,655,407,801,474,856,0.30390143737166325,0.6694045174537988,0.891170431211499,0.9815195071868584,1,0.915811088295688,0.8275154004106776,0.5092402464065708,0,0.8090349075975359,0.1375770020533881,0.9219712525667352,0.02549246813441483,-0.09394313967861558
Bare Sediment,555,766,894,927,953,789,766,575,363,734,474,856,0.3254237288135593,0.6830508474576271,0.9,0.9559322033898304,1,0.7220338983050848,0.6830508474576271,0.3593220338983051,0,0.6288135593220339,0.188135593220339,0.8355932203389831,0.01812191103789126,-0.09509746012994684
Water,555,744,885,872,953,789,766,575,363,734,474,856,0.3254237288135593,0.6457627118644068,0.8847457627118644,0.8627118644067797,1,0.7220338983050848,0.6830508474576271,0.3593220338983051,0,0.6288135593220339,0.188135593220339,0.8355932203389831,-0.00739897552646556,-0.07920792079207921
Bare Sediment,538,739,834,876,949,766,866,609,408,791,454,890,0.24029574861367836,0.6118299445471349,0.7874306839186691,0.8650646950092421,1,0.6617375231053605,0.8465804066543438,0.37153419593345655,0,0.7079482439926063,0.08502772643253234,0.8909426987060998,0.02456140350877193,-0.0848297213622291
Bare Sediment,538,728,813,872,949,766,866,609,408,791,454,890,0.24029574861367836,0.5914972273567468,0.7486136783733827,0.8576709796672828,1,0.6617375231053605,0.8465804066543438,0.37153419593345655,0,0.7079482439926063,0.08502772643253234,0.8909426987060998,0.03501483679525222,-0.09
Bare Sediment,529,717,818,836,885,844,842,635,388,821,454,890,0.28087649402390436,0.6553784860557769,0.8565737051792829,0.8924302788844621,0.9900398406374502,0.9083665338645418,0.904382470119522,0.49203187250996017,0,0.8625498007968128,0.13147410358565736,1,0.01088270858524788,-0.07662588538312942
Bare Sediment,518,716,783,845,885,844,842,635,388,821,454,890,0.2589641434262948,0.6533864541832669,0.7868525896414342,0.9103585657370518,0.9900398406374502,0.9083665338645418,0.904382470119522,0.49203187250996017,0,0.8625498007968128,0.13147410358565736,1,0.03808353808353808,-0.08263933376041
