True_Class,Reflectance_B02,Reflectance_B03,Reflectance_B04,Reflectance_B08,Reflectance_B05,Reflectance_B06,Reflectance_B07,Reflectance_B11,Reflectance_B12,Reflectance_B8A,Reflectance_B01,Reflectance_B09,Reflectance_Stan_B02,Reflectance_Stan_B03,Reflectance_Stan_B04,Reflectance_Stan_B08,Reflectance_Stan_B05,Reflectance_Stan_B06,Reflectance_Stan_B07,Reflectance_Stan_B11,Reflectance_Stan_B12,Reflectance_Stan_B8A,Reflectance_Stan_B01,Reflectance_Stan_B09,NDVI,NDWI
Bare Sediment,548,788,858,1210,1131,1173,1229,635,350,1234,448,888,0.2239819004524887,0.495475113122172,0.5746606334841629,0.9728506787330315,0.8834841628959276,0.9309954751131222,0.994343891402715,0.3223981900452489,0,1,0.11085972850678733,0.6085972850678733,0.1702127659574468,-0.2112112112112112
Bare Sediment,552,776,888,1236,1136,1212,1253,646,389,1262,451,868,0.18671248568155785,0.443298969072165,0.5715922107674685,0.9702176403207332,0.8556701030927835,0.9427262313860252,0.9896907216494846,0.2943871706758305,0,1,0.07101947308132875,0.5486827033218786,0.1638418079096045,-0.2286282306163022
Microphytobenthos,544,802,881,1250,1136,1212,1253,646,389,1262,451,868,0.1775486827033219,0.47308132875143183,0.563573883161512,0.986254295532646,0.8556701030927835,0.9427262313860252,0.9896907216494846,0.2943871706758305,0,1,0.07101947308132875,0.5486827033218786,0.17315814171750352,-0.21832358674463936
Microphytobenthos,496,770,844,1212,1117,1153,1202,577,334,1228,451,868,0.18120805369127516,0.48769574944071586,0.5704697986577181,0.9821029082774048,0.8758389261744967,0.9161073825503356,0.970917225950783,0.27181208053691275,0,1,0.13087248322147652,0.5973154362416108,0.17898832684824903,-0.22300706357214933
Bare Sediment,516,730,832,1170,1117,1153,1202,577,334,1228,451,868,0.203579418344519,0.4429530201342282,0.5570469798657718,0.9351230425055927,0.8758389261744967,0.9161073825503356,0.970917225950783,0.27181208053691275,0,1,0.13087248322147652,0.5973154362416108,0.16883116883116883,-0.23157894736842105
Bare Sediment,536,788,855,1186,1108,1164,1204,550,320,1239,451,868,0.235038084874864,0.5092491838955386,0.5821545157780196,0.942328618063112,0.8574537540805223,0.9183895538628944,0.9619151251360174,0.250272034820457,0,1,0.1425462459194777,0.5963003264417845,0.16217540421362078,-0.2016210739614995
Bare Sediment,527,776,872,1196,1108,1164,1204,550,320,1239,451,868,0.2252448313384113,0.4961915125136017,0.6006528835690969,0.9532100108813928,0.8574537540805223,0.9183895538628944,0.9619151251360174,0.250272034820457,0,1,0.1425462459194777,0.5963003264417845,0.15667311411992263,-0.2129817444219067
Microphytobenthos,536,763,850,1220,1123,1176,1230,584,333,1220,442,837,0.22630992196209587,0.4793756967670011,0.5763656633221851,0.9888517279821628,0.8807134894091416,0.939799331103679,1,0.2798216276477146,0,0.9888517279821628,0.12151616499442586,0.5618729096989966,0.178743961352657,-0.23045890065557237
Bare Sediment,562,754,886,1214,1123,1176,1230,584,333,1220,442,837,0.2552954292084727,0.4693422519509476,0.6164994425863991,0.9821627647714604,0.8807134894091416,0.939799331103679,1,0.2798216276477146,0,0.9888517279821628,0.12151616499442586,0.5618729096989966,0.1561904761904762,-0.233739837398374
Bare Sediment,560,797,906,1232,1158,1189,1237,645,372,1263,442,837,0.21099887766554432,0.4769921436588103,0.5993265993265994,0.9652076318742986,0.8821548821548821,0.9169472502805835,0.9708193041526376,0.3063973063973064,0,1,0.07856341189674523,0.5218855218855218,0.15247895229186156,-0.21439132577624445
Microphytobenthos,542,772,872,1272,1158,1189,1237,645,372,1263,442,837,0.18888888888888888,0.4444444444444444,0.5555555555555556,1,0.8733333333333333,0.9077777777777778,0.9611111111111112,0.30333333333333334,0,0.99,0.07777777777777778,0.5166666666666667,0.1865671641791045,-0.2446183953033268
Bare Sediment,588,780,894,1244,1154,1187,1244,667,384,1269,442,837,0.2305084745762712,0.44745762711864406,0.576271186440678,0.9717514124293786,0.8700564971751412,0.9073446327683616,0.9717514124293786,0.319774011299435,0,1,0.0655367231638418,0.511864406779661,0.1637043966323667,-0.22924901185770752
Bare Sediment,549,786,911,1248,1154,1187,1244,667,384,1269,442,837,0.1864406779661017,0.4542372881355932,0.5954802259887005,0.976271186440678,0.8700564971751412,0.9073446327683616,0.9717514124293786,0.319774011299435,0,1,0.0655367231638418,0.511864406779661,0.15609078276980085,-0.22713864306784665
Bare Sediment,557,777,899,1254,1128,1163,1214,601,344,1243,438,812,0.23406593406593407,0.4758241758241758,0.6098901098901099,1,0.8615384615384616,0.9,0.956043956043956,0.2824175824175824,0,0.987912087912088,0.10329670329670328,0.5142857142857142,0.1648862052949373,-0.2348596750369276
Bare Sediment,542,781,921,1204,1128,1163,1214,601,344,1243,438,812,0.22024471635150167,0.4860956618464961,0.6418242491657397,0.9566184649610678,0.8720800889877642,0.9110122358175752,0.967741935483871,0.28587319243604004,0,1,0.10456062291434928,0.5205784204671857,0.13317647058823529,-0.21309823677581863
Bare Sediment,526,758,894,1186,1124,1139,1186,522,298,1210,438,812,0.25,0.5043859649122807,0.6535087719298246,0.9736842105263158,0.9057017543859648,0.9221491228070176,0.9736842105263158,0.24561403508771928,0,1,0.15350877192982457,0.5635964912280702,0.1403846153846154,-0.2201646090534979
Bare Sediment,525,744,884,1180,1124,1139,1186,522,298,1210,438,812,0.24890350877192985,0.48903508771929827,0.6425438596491229,0.9671052631578948,0.9057017543859648,0.9221491228070176,0.9736842105263158,0.24561403508771928,0,1,0.15350877192982457,0.5635964912280702,0.1434108527131783,-0.22661122661122665
Bare Sediment,532,783,901,1176,1109,1135,1188,481,267,1217,438,812,0.2789473684210526,0.5431578947368421,0.6673684210526316,0.956842105263158,0.8863157894736842,0.9136842105263158,0.9694736842105264,0.22526315789473683,0,1,0.18,0.5736842105263158,0.13240250361097738,-0.2006125574272588
Bare Sediment,544,762,876,1160,1109,1135,1188,481,267,1217,438,812,0.29157894736842105,0.5210526315789473,0.6410526315789473,0.94,0.8863157894736842,0.9136842105263158,0.9694736842105264,0.22526315789473683,0,1,0.18,0.5736842105263158,0.13948919449901767,-0.20707596253902183
Bare Sediment,521,759,880,1188,1121,1149,1188,530,289,1221,439,830,0.24892703862660945,0.5042918454935622,0.6341201716738197,0.9645922746781116,0.8927038626609443,0.9227467811158798,0.9645922746781116,0.25858369098712447,0,1,0.1609442060085837,0.5804721030042919,0.14893617021276595,-0.22033898305084745
Bare Sediment,540,762,880,1174,1121,1149,1188,530,289,1221,439,830,0.26931330472103004,0.5075107296137339,0.6341201716738197,0.9495708154506438,0.8927038626609443,0.9227467811158798,0.9645922746781116,0.25858369098712447,0,1,0.1609442060085837,0.5804721030042919,0.14313534566699124,-0.2128099173553719
Bare Sediment,529,774,928,1232,1131,1160,1231,616,345,1241,439,830,0.20535714285714285,0.4787946428571429,0.6506696428571429,0.9899553571428572,0.8772321428571429,0.9095982142857144,0.9888392857142856,0.30245535714285715,0,1,0.10491071428571427,0.5412946428571429,0.14074074074074075,-0.22831505483549352
Bare Sediment,547,772,922,1224,1131,1160,1231,616,345,1241,439,830,0.22544642857142855,0.4765625,0.6439732142857143,0.9810267857142856,0.8772321428571429,0.9095982142857144,0.9888392857142856,0.30245535714285715,0,1,0.10491071428571427,0.5412946428571429,0.1407269338303821,-0.22645290581162325
Bare Sediment,544,766,894,1178,1125,1143,1186,590,340,1249,439,830,0.2244224422442244,0.46864686468646866,0.6094609460946094,0.921892189218922,0.8635863586358636,0.8833883388338833,0.9306930693069309,0.27502750275027504,0,1,0.10891089108910892,0.5390539053905391,0.13706563706563707,-0.21193415637860083
Bare Sediment,544,774,886,1196,1125,1143,1186,590,340,1249,439,830,0.2244224422442244,0.47744774477447743,0.6006600660066007,0.9416941694169416,0.8635863586358636,0.8833883388338833,0.9306930693069309,0.27502750275027504,0,1,0.10891089108910892,0.5390539053905391,0.148895292987512,-0.2142131979695431
Bare Sediment,548,776,874,1168,1130,1141,1200,578,325,1221,433,868,0.24888392857142855,0.5033482142857143,0.6127232142857143,0.9408482142857144,0.8984375,0.9107142857142856,0.9765625,0.28236607142857145,0,1,0.12053571428571427,0.6060267857142857,0.14397649363369247,-0.20164609053497945
Bare Sediment,543,753,862,1140,1130,1141,1200,578,325,1221,433,868,0.24330357142857145,0.47767857142857145,0.5993303571428571,0.9095982142857144,0.8984375,0.9107142857142856,0.9765625,0.28236607142857145,0,1,0.12053571428571427,0.6060267857142857,0.13886113886113885,-0.2044374009508716
Bare Sediment,536,742,850,1184,1112,1128,1221,593,340,1222,433,868,0.2222222222222222,0.4557823129251701,0.5782312925170068,0.9569160997732428,0.8752834467120182,0.8934240362811792,0.9988662131519276,0.2868480725623583,0,1,0.1054421768707483,0.5986394557823129,0.16420845624385447,-0.22949117341640707
Microphytobenthos,508,750,852,1218,1112,1128,1221,593,340,1222,433,868,0.1904761904761905,0.46485260770975056,0.5804988662131519,0.9954648526077098,0.8752834467120182,0.8934240362811792,0.9988662131519276,0.2868480725623583,0,1,0.1054421768707483,0.5986394557823129,0.17681159420289855,-0.23780487804878048
Microphytobenthos,544,758,822,1202,1131,1153,1208,625,358,1256,433,868,0.2071269487750557,0.44543429844098,0.5167037861915368,0.9398663697104676,0.8608017817371938,0.8853006681514477,0.9465478841870824,0.2973273942093541,0,1,0.08351893095768374,0.5679287305122495,0.18774703557312253,-0.22653061224489796
Bare Sediment,530,772,862,1224,1131,1153,1208,625,358,1256,433,868,0.1915367483296214,0.4610244988864143,0.5612472160356348,0.9643652561247216,0.8608017817371938,0.8853006681514477,0.9465478841870824,0.2973273942093541,0,1,0.08351893095768374,0.5679287305122495,0.17353787152444872,-0.22645290581162325
Bare Sediment,548,790,889,1252,1143,1175,1224,663,375,1254,452,919,0.19681456200227532,0.472127417519909,0.5847554038680318,0.9977246871444824,0.8737201365187713,0.9101251422070534,0.9658703071672357,0.32764505119453924,0,1,0.0875995449374289,0.6188850967007964,0.16954694068192433,-0.22624877571008817
Microphytobenthos,544,800,866,1234,1143,1175,1224,663,375,1254,452,919,0.19226393629124008,0.4835039817974971,0.558589306029579,0.9772468714448236,0.8737201365187713,0.9101251422070534,0.9658703071672357,0.32764505119453924,0,1,0.0875995449374289,0.6188850967007964,0.17523809523809525,-0.21337266470009833
Bare Sediment,557,785,889,1236,1161,1209,1255,787,473,1270,452,919,0.12836185819070906,0.4070904645476773,0.5342298288508558,0.9584352078239609,0.8667481662591687,0.9254278728606355,0.9816625916870416,0.4095354523227384,0.02567237163814181,1,0,0.5709046454767727,0.1632941176470588,-0.223156853043048
Bare Sediment,554,819,926,1268,1161,1209,1255,787,473,1270,452,919,0.12469437652811736,0.4486552567237164,0.5794621026894865,0.9975550122249388,0.8667481662591687,0.9254278728606355,0.9816625916870416,0.4095354523227384,0.02567237163814181,1,0,0.5709046454767727,0.15587967183226983,-0.21514135122184955
Bare Sediment,594,832,978,1268,1200,1233,1281,904,554,1311,452,919,0.16530849825378346,0.44237485448195574,0.6123399301513388,0.9499417927823052,0.8707799767171129,0.9091967403958092,0.9650756693830036,0.5261932479627474,0.11874272409778812,1,0,0.5436554132712457,0.12911843276936777,-0.2076190476190476
Bare Sediment,572,838,980,1250,1200,1233,1281,904,554,1311,452,919,0.13969732246798602,0.44935972060535506,0.6146682188591386,0.9289871944121072,0.8707799767171129,0.9091967403958092,0.9650756693830036,0.5261932479627474,0.11874272409778812,1,0,0.5436554132712457,0.1210762331838565,-0.19731800766283525
Bare Sediment,567,844,944,1278,1176,1237,1287,932,552,1318,466,1001,0.11854460093896714,0.44366197183098594,0.5610328638497653,0.9530516431924884,0.8333333333333334,0.9049295774647887,0.9636150234741784,0.5469483568075117,0.10093896713615023,1,0,0.6279342723004695,0.15031503150315031,-0.20452403393025448
Bare Sediment,586,822,956,1270,1176,1237,1287,932,552,1318,466,1001,0.14084507042253522,0.4178403755868544,0.5751173708920188,0.943661971830986,0.8333333333333334,0.9049295774647887,0.9636150234741784,0.5469483568075117,0.10093896713615023,1,0,0.6279342723004695,0.14106019766397124,-0.21414913957934992
Bare Sediment,578,808,932,1240,1192,1238,1270,967,573,1343,466,1001,0.12770809578107184,0.3899657924743444,0.5313568985176739,0.8825541619156214,0.8278221208665907,0.8802736602052451,0.9167616875712656,0.5712656784492588,0.12200684150513112,1,0,0.6100342075256556,0.141804788213628,-0.2109375
Bare Sediment,574,848,962,1284,1192,1238,1270,967,573,1343,466,1001,0.12314709236031927,0.43557582668187,0.5655644241733181,0.9327251995438997,0.8278221208665907,0.8802736602052451,0.9167616875712656,0.5712656784492588,0.12200684150513112,1,0,0.6100342075256556,0.1433659839715049,-0.2045028142589118
Bare Sediment,557,861,974,1284,1217,1238,1268,984,597,1334,466,1001,0.10483870967741936,0.45506912442396313,0.5852534562211982,0.9423963133640552,0.8652073732718893,0.8894009216589862,0.923963133640553,0.5967741935483871,0.15092165898617513,1,0,0.6163594470046083,0.13728963684676704,-0.1972027972027972
Bare Sediment,576,858,995,1252,1217,1238,1268,984,597,1334,466,1001,0.12672811059907835,0.4516129032258064,0.6094470046082949,0.9055299539170508,0.8652073732718893,0.8894009216589862,0.923963133640553,0.5967741935483871,0.15092165898617513,1,0,0.6163594470046083,0.11437472185135736,-0.18672985781990523
Bare Sediment,582,833,962,1256,1201,1237,1275,998,598,1329,486,1069,0.11387900355871886,0.41162514827995256,0.564650059311981,0.9134045077105576,0.8481613285883749,0.8908659549228944,0.9359430604982206,0.6073546856465006,0.132858837485172,1,0,0.6915776986951364,0.13255184851217314,-0.202489229296314
Bare Sediment,568,838,918,1274,1201,1237,1275,998,598,1329,486,1069,0.09727164887307237,0.41755634638196915,0.5124555160142349,0.9347568208778172,0.8481613285883749,0.8908659549228944,0.9359430604982206,0.6073546856465006,0.132858837485172,1,0,0.6915776986951364,0.1624087591240876,-0.20643939393939395
Bare Sediment,586,833,916,1288,1196,1238,1298,1026,593,1343,486,1069,0.11668611435239208,0.4049008168028005,0.5017502917152858,0.9358226371061844,0.8284714119019837,0.8774795799299884,0.9474912485414236,0.6301050175029171,0.12485414235705952,1,0,0.6802800466744457,0.16878402903811252,-0.2145214521452145
Bare Sediment,586,827,932,1282,1196,1238,1298,1026,593,1343,486,1069,0.11668611435239208,0.39789964994165694,0.5204200700116686,0.9288214702450408,0.8284714119019837,0.8774795799299884,0.9474912485414236,0.6301050175029171,0.12485414235705952,1,0,0.6802800466744457,0.15808491418247517,-0.215742057847321
Bare Sediment,579,806,924,1288,1190,1253,1287,974,545,1319,486,1069,0.11164465786314526,0.38415366146458585,0.5258103241296519,0.9627851140456184,0.8451380552220888,0.9207683073229292,0.9615846338535414,0.5858343337334934,0.07082833133253301,1,0,0.6998799519807923,0.16455696202531644,-0.23018147086914997
Bare Sediment,553,807,910,1262,1190,1253,1287,974,545,1319,486,1069,0.08043217286914765,0.38535414165666265,0.5090036014405762,0.9315726290516206,0.8451380552220888,0.9207683073229292,0.9615846338535414,0.5858343337334934,0.07082833133253301,1,0,0.6998799519807923,0.16206261510128914,-0.21991300144997583
Bare Sediment,554,790,862,1216,1173,1223,1262,924,527,1313,493,1060,0.07439024390243902,0.3621951219512195,0.45,0.8817073170731707,0.8292682926829268,0.8902439024390244,0.9378048780487804,0.525609756097561,0.04146341463414634,1,0,0.6914634146341463,0.17035611164581327,-0.2123629112662014
Microphytobenthos,548,786,878,1266,1173,1223,1262,924,527,1313,493,1060,0.06707317073170732,0.3573170731707317,0.4695121951219512,0.9426829268292682,0.8292682926829268,0.8902439024390244,0.9378048780487804,0.525609756097561,0.04146341463414634,1,0,0.6914634146341463,0.18097014925373137,-0.23391812865497075
Microphytobenthos,568,797,894,1266,1153,1216,1277,927,537,1308,493,1060,0.0920245398773006,0.3730061349693251,0.4920245398773006,0.9484662576687116,0.8098159509202454,0.8871165644171779,0.9619631901840492,0.5325153374233129,0.05398773006134969,1,0,0.6957055214723926,0.17222222222222222,-0.22733882695104216
Microphytobenthos,562,797,868,1252,1153,1216,1277,927,537,1308,493,1060,0.08466257668711656,0.3730061349693251,0.4601226993865031,0.9312883435582822,0.8098159509202454,0.8871165644171779,0.9619631901840492,0.5325153374233129,0.05398773006134969,1,0,0.6957055214723926,0.1811320754716981,-0.2220595412396291
Microphytobenthos,572,800,882,1262,1156,1198,1285,920,520,1346,493,1060,0.09261430246189918,0.35990621336459555,0.45603751465416176,0.9015240328253225,0.7772567409144197,0.8264947245017585,0.9284876905041032,0.5005861664712778,0.03165298944900351,1,0,0.6647127784290738,0.1772388059701493,-0.22405431619786617
Microphytobenthos,565,808,874,1284,1156,1198,1285,920,520,1346,493,1060,0.08440797186400938,0.369284876905041,0.4466588511137163,0.9273153575615476,0.7772567409144197,0.8264947245017585,0.9284876905041032,0.5005861664712778,0.03165298944900351,1,0,0.6647127784290738,0.18999073215940684,-0.22753346080305928
Microphytobenthos,534,797,866,1252,1153,1191,1261,858,479,1311,476,1049,0.06946107784431138,0.3844311377245509,0.467065868263473,0.9293413173652696,0.8107784431137725,0.8562874251497006,0.940119760479042,0.45748502994011975,0.00359281437125748,1,0,0.6862275449101797,0.182247403210576,-0.2220595412396291
Microphytobenthos,543,792,838,1234,1153,1191,1261,858,479,1311,476,1049,0.08023952095808383,0.3784431137724551,0.43353293413173655,0.9077844311377246,0.8107784431137725,0.8562874251497006,0.940119760479042,0.45748502994011975,0.00359281437125748,1,0,0.6862275449101797,0.19111969111969113,-0.21816386969397827
Microphytobenthos,550,788,838,1248,1142,1219,1243,838,497,1277,476,1049,0.09238451935081148,0.3895131086142322,0.4519350811485643,0.9637952559300874,0.8314606741573034,0.9275905118601748,0.9575530586766542,0.4519350811485643,0.02621722846441947,1,0,0.7153558052434457,0.1965484180249281,-0.22593320235756384
Microphytobenthos,542,786,843,1238,1142,1219,1243,838,497,1277,476,1049,0.08239700374531835,0.387016229712859,0.4581772784019975,0.951310861423221,0.8314606741573034,0.9275905118601748,0.9575530586766542,0.4519350811485643,0.02621722846441947,1,0,0.7153558052434457,0.18981259010091303,-0.2233201581027668
Microphytobenthos,520,772,817,1234,1139,1200,1264,813,453,1268,476,1049,0.08220858895705521,0.3914110429447853,0.4466257668711656,0.9582822085889572,0.841717791411043,0.916564417177914,0.9950920245398772,0.44171779141104295,0,1,0.02822085889570552,0.7312883435582822,0.20331545587518285,-0.23030907278165505
Microphytobenthos,546,738,824,1210,1139,1200,1264,813,453,1268,476,1049,0.11411042944785275,0.3496932515337423,0.4552147239263803,0.9288343558282208,0.841717791411043,0.916564417177914,0.9950920245398772,0.44171779141104295,0,1,0.02822085889570552,0.7312883435582822,0.18977384464110128,-0.24229979466119095
Microphytobenthos,502,741,769,1190,1123,1185,1227,739,422,1262,459,1000,0.09523809523809525,0.37976190476190474,0.41309523809523807,0.9142857142857144,0.8345238095238096,0.9083333333333332,0.9583333333333334,0.3773809523809524,0,1,0.04404761904761905,0.6880952380952381,0.2149055640632976,-0.23252200932159503
Microphytobenthos,477,755,768,1218,1123,1185,1227,739,422,1262,459,1000,0.06547619047619048,0.3964285714285714,0.4119047619047619,0.9476190476190476,0.8345238095238096,0.9083333333333332,0.9583333333333334,0.3773809523809524,0,1,0.04404761904761905,0.6880952380952381,0.22658610271903323,-0.23466801824632536
Microphytobenthos,482,750,783,1226,1135,1171,1234,713,420,1246,459,1000,0.07506053268765134,0.39951573849878935,0.43946731234866826,0.9757869249394672,0.8656174334140436,0.9092009685230024,0.9854721549636803,0.35472154963680386,0,1,0.04721549636803874,0.7021791767554479,0.22050771528123445,-0.2408906882591093
Bare Sediment,522,775,870,1186,1135,1171,1234,713,420,1246,459,1000,0.1234866828087167,0.4297820823244552,0.5447941888619855,0.927360774818402,0.8656174334140436,0.9092009685230024,0.9854721549636803,0.35472154963680386,0,1,0.04721549636803874,0.7021791767554479,0.15369649805447472,-0.20958694543600204
Bare Sediment,516,770,862,1202,1122,1153,1216,665,366,1250,459,1000,0.16968325791855204,0.4570135746606334,0.5610859728506787,0.9457013574660632,0.8552036199095022,0.8902714932126696,0.9615384615384616,0.3382352941176471,0,1,0.10520361990950226,0.7171945701357466,0.16472868217054262,-0.21906693711967545
Microphytobenthos,474,730,762,1182,1122,1153,1216,665,366,1250,459,1000,0.12217194570135746,0.4117647058823529,0.4479638009049774,0.9230769230769232,0.8552036199095022,0.8902714932126696,0.9615384615384616,0.3382352941176471,0,1,0.10520361990950226,0.7171945701357466,0.21604938271604937,-0.23640167364016737
Microphytobenthos,482,738,756,1166,1107,1159,1192,652,359,1227,460,945,0.14170506912442396,0.43663594470046085,0.4573732718894009,0.9297235023041476,0.8617511520737328,0.9216589861751152,0.9596774193548387,0.33755760368663595,0,1,0.11635944700460828,0.6751152073732719,0.2133194588969823,-0.22478991596638656
Microphytobenthos,516,755,802,1180,1107,1159,1192,652,359,1227,460,945,0.18087557603686635,0.4562211981566821,0.5103686635944701,0.945852534562212,0.8617511520737328,0.9216589861751152,0.9596774193548387,0.33755760368663595,0,1,0.11635944700460828,0.6751152073732719,0.19071644803229065,-0.21963824289405684
Microphytobenthos,546,764,819,1180,1109,1158,1183,684,390,1217,460,945,0.18863361547763,0.45223700120918986,0.5187424425634825,0.9552599758162033,0.8694074969770254,0.928657799274486,0.9588875453446192,0.3555018137847642,0,1,0.08464328899637243,0.6711003627569528,0.1805902951475738,-0.2139917695473251
Microphytobenthos,552,755,813,1192,1109,1158,1183,684,390,1217,460,945,0.19588875453446192,0.44135429262394194,0.5114873035066505,0.969770253929867,0.8694074969770254,0.928657799274486,0.9588875453446192,0.3555018137847642,0,1,0.08464328899637243,0.6711003627569528,0.18902743142144637,-0.22444786851566512
Bare Sediment,516,760,839,1178,1126,1130,1189,695,410,1199,460,945,0.13434727503168567,0.4435994930291508,0.5437262357414449,0.973384030418251,0.9074778200253484,0.9125475285171104,0.9873257287705955,0.3612167300380228,0,1,0.06337135614702155,0.6780735107731305,0.16807139315815567,-0.21568627450980393
Bare Sediment,554,798,882,1178,1126,1130,1189,695,410,1199,460,945,0.1825095057034221,0.4917617237008872,0.5982256020278834,0.973384030418251,0.9074778200253484,0.9125475285171104,0.9873257287705955,0.3612167300380228,0,1,0.06337135614702155,0.6780735107731305,0.1436893203883495,-0.19230769230769232
